Id,SalePrice
2658,147522.34741653508
2718,166444.55813002578
2414,238836.26709005775
1989,95688.54599931698
625,181210.16299378488
333,80769.72855862929
1327,95379.65468741192
858,169580.9811762759
95,185627.5286347484
1568,168784.05024412932
2482,143114.62376439938
1364,120920.77769737408
2584,160625.98625792007
818,299656.67389789986
2673,153055.12492205075
2089,133600.0064970483
1297,161773.86713652324
790,122377.75621333448
2616,179912.63665277898
720,194059.39815688645
222,165304.45609533568
557,137907.49002989658
1148,177377.13126118935
2766,186129.57937036842
534,186517.06374177831
1452,133499.78911339375
630,124806.77485341622
2648,132984.83006891722
125,173775.0098019503
1904,50657.27844205698
1670,94156.84114446728
756,81953.37581952247
717,215257.5224720222
1032,156476.31836379383
852,227098.23297574252
1731,191568.54233144148
2639,111207.56192592876
2071,91684.74214262175
1267,130663.3793472349
1851,208611.59865068874
567,172991.82902769872
2439,213235.06407904436
1898,151847.13612645975
647,169285.72552336485
2256,214235.44491276777
979,96944.54746950495
1444,241197.4383289962
2485,126581.91847321537
157,134010.7835388137
88,118929.22263086596
2003,104849.23204124512
186,214086.9392992863
1425,252269.91411473247
2695,132972.8197424261
738,105167.62007456893
395,160257.99921851084
1353,187635.07895657598
1878,153474.687074485
390,161193.42256862504
1456,245977.60728293328
1103,332875.1588368565
1387,124039.62329942334
2070,153507.33882028697
1199,176697.4302079406
2479,188962.9392824468
501,352056.3841665996
2362,76970.29390351046
1718,248515.63305661097
2188,71671.0322166202
1483,166877.69040332205
2557,93296.854848726
437,382434.82518793544
2224,215704.11290019922
1628,176019.3133476906
397,138262.02400082475
587,202977.09253667868
971,152924.33599409414
2611,140897.2478769413
1887,94638.65666711815
2399,379350.14346296975
2148,203356.09712922285
304,147612.4083509398
1997,139484.46711126008
2817,99707.80075368665
1431,240635.96642440459
427,350921.12266312307
263,136706.5488934647
598,194723.66915654577
2895,234813.287689437
687,126731.99143205056
1822,138798.60514738708
2191,85927.11959674544
179,117106.4033928136
1009,269246.4590573365
2010,137564.29333170442
1991,157159.35173776984
1411,188733.3606314164
1721,276739.8222109833
1144,207609.53699539052
593,232713.8864232245
575,302637.3068961641
1249,180663.5422061806
1604,132877.21778035237
1064,464133.43333422573
1923,145763.04296137093
1988,117564.9236944608
2325,183521.87213988736
114,217743.06687630256
2700,186181.6605022204
217,151325.6954422159
343,187606.4253703261
386,238973.85967555994
2005,96735.89149561925
2908,134693.15705601766
1814,235455.15339010072
2446,478319.048161449
208,151471.9589129734
1679,91486.4477953066
822,313706.4926065471
6,203334.93389113335
1781,372916.28310082667
2397,339882.94251742616
2340,348967.57665836264
1618,193221.34422370757
2843,141302.67833778908
1061,385842.19150051574
2786,137609.96514204206
1935,129584.02123841949
1341,142083.07517428987
521,276217.82646726235
2136,131143.51763450447
996,218731.75460362376
227,144311.13633832696
135,183074.30071482464
1167,176996.43304020978
294,240926.34608312728
1776,205889.62718425892
540,169382.7439421748
1717,254818.7329736597
2303,124151.3982919865
116,202257.23067547352
127,159022.27004545458
1371,141026.96964658154
1014,162858.09600099773
1507,95514.79302862035
702,159587.67939709747
750,156293.05544023946
261,159082.23603780707
1559,65302.24027643552
577,219133.04693612378
2812,201743.18437386173
2080,155584.7777033953
1368,111229.5443906607
2376,121839.92469141632
659,106912.28495518838
1235,138680.49913212954
332,71256.80019875616
1917,148148.66268826264
2094,259761.7930283798
1460,272210.0500816132
1471,236258.57633787728
1509,111115.83398736567
1922,121614.11682539113
433,449273.12054767436
460,285357.54229419597
1116,264486.4959059823
1137,175151.15303838224
53,171191.50650198903
2354,284858.50606944854
1475,208099.0003680949
1761,486678.50783271476
842,147355.49991565096
2739,180497.29508055464
2509,159735.5241909249
1007,217203.52399053492
2610,179121.9140853669
1952,94676.89547224087
2719,165850.31003023026
2921,76896.98935518418
1966,153826.57764326857
292,148730.8520129275
1204,207400.11993969363
1829,253259.26459819102
2419,195911.35770168572
391,163932.11966137492
798,117196.57410491596
481,219443.95741342867
193,201010.3393151566
555,131862.0363187732
899,36245.33124415341
2357,195174.2784550716
328,154507.41514032517
1356,111142.66251009973
1154,120982.67775004945
1730,186432.87347514898
2249,179505.8529899816
1119,315299.2294858307
2856,139923.58744026013
1394,144929.0678867886
2587,125344.88943653431
61,339592.92379440344
2661,183380.30424016356
2711,142084.51081892187
1147,183507.840878695
757,133329.1209923406
2623,96708.27579681286
2378,142877.4311660323
1413,133305.69533996732
1722,255607.46972658375
1112,241924.73211048788
1623,201319.5221639033
1201,207850.8610586624
1513,105262.31860240336
957,299220.2289641538
1171,261757.16138903098
1145,211000.0998563808
2726,231258.49317736764
703,166738.95769914938
760,131676.65150605256
1964,165420.4401235922
2512,200585.9460580134
159,148690.3595722579
1281,193561.30262529416
468,205162.5980006874
290,139963.12338177647
665,103694.10236760182
1463,266492.2789981149
1792,226027.38222059832
923,160162.49877746674
500,306249.4784419239
1408,164077.04634208846
331,79213.98798118149
170,176527.33515577263
2192,83818.04358853669
2571,270180.5903014659
2314,174132.8223268291
2647,82451.96883213957
422,429274.95634824515
2457,333081.7768522733
1838,193695.90041799413
2805,258987.9655724811
1645,177921.91682455354
1711,339082.2530877729
2825,247847.97964682247
322,316570.3146606273
2103,263457.5168831409
342,115171.95383212279
600,122690.1733503995
488,184648.3065254319
1725,310855.12739585724
2246,309906.12696775724
2847,160164.9309781966
806,247095.34045170204
530,251750.86188695626
963,199591.22474093112
2678,104562.85813922266
171,84708.57502496817
2401,417415.86653329124
805,239284.56281317142
2259,263812.55310436926
1748,207384.5753789843
1361,155249.5811126268
1677,105719.09938073924
1406,166037.09084381576
2322,261283.60251271765
688,157004.98302478457
143,137654.84209944177
804,225133.39578345025
1214,207584.41517701262
2828,143493.77723976658
1999,219060.46437755108
2467,213749.63505799594
2665,196040.84462681145
1538,343672.6227677352
398,110712.46923484681
2822,144816.43339400552
2157,151240.70255659404
1856,196395.9238630349
1269,111381.88227618423
2570,107468.53936748044
2320,261030.6270724486
1517,142965.205048941
2304,125980.14209333467
1312,98562.56610120351
2012,160714.3701514497
506,265782.29985520337
2865,218036.36132640566
2367,97981.81248213144
554,86022.3940529266
238,135585.17747702711
1954,118421.24405018424
2488,145469.83112215906
2291,80858.68232822053
1969,102565.09769714538
2725,157655.48668286038
1482,160756.07939982667
2763,219555.51487973944
503,298726.8500820955
1584,266244.2492143205
1531,189652.20701890063
2210,207399.97187505517
459,334482.31668328814
556,120555.61849635805
1347,136616.90080514696
1290,72207.7835872321
1388,104692.58896809547
1571,249837.61063583518
2754,219674.34729329328
765,143855.73321356223
2494,119539.09980542975
2870,237051.6782865536
7,266892.771099171
1114,238037.4761094213
2418,287341.6662700416
291,162314.0881201091
18,385665.40150183014
39,383916.0997545591
1001,315503.3337725385
2442,244647.76309921025
616,140070.73181358667
2680,72496.96546593834
1414,133543.65473101404
289,175911.6685964163
40,281655.9632219613
860,137619.49862165167
409,106619.69544980463
673,166231.6763473402
2427,181406.53537828784
2036,212992.96598832417
2564,148209.37356855383
642,177365.40997608492
1008,194358.9080277044
1908,154733.67369842896
2519,205941.07409305093
1369,89829.70854160364
2855,170478.9436520594
712,74136.25363563828
1943,94886.87486067136
1958,130670.28086031208
107,182867.06095319183
2295,204638.70569442472
704,112230.58963571835
676,121530.69785396216
259,195456.51340128895
93,304194.4696536155
106,263957.9064846105
2315,184903.58968965797
1050,94390.88560045516
1095,226650.89171116965
2709,171170.09191608886
758,148639.22466254517
1496,172467.4495606261
2370,125638.6904327693
2458,301148.54566244426
2733,128394.35435648577
161,286596.42047675396
726,161047.6305493052
845,225705.68777726675
947,257050.5775526057
2232,107742.71279941085
2563,151129.7803261797
2299,138630.3136048606
211,92178.37559255907
605,169739.64820392805
1478,206768.58202001586
2247,304445.8061113838
2274,230500.2065306439
2869,219924.51731639192
967,220733.38373581014
2656,116067.9406550595
667,213173.19232489032
1042,103505.0106009962
2023,175744.63685434827
2447,400028.2941495823
2055,143197.8398403967
2275,303890.75282799784
2204,186450.01346048267
1563,304477.3631155076
483,259539.07810692786
796,109653.01245782193
1526,169393.30794691556
2042,159171.45085936697
442,354626.8656755368
1693,353249.27633693523
1468,237436.566932836
1430,210103.0294607703
2605,176073.49192371045
1529,206194.20266977465
335,135342.31286603643
1287,115811.38150176944
